pn,pe,pd,vn,ve,vd,an,ae,ad,roll,pitch,yaw,q0,q1,q2,q3,lat,lng,alt,sat,ax,ay,az,gx,gy,gz,mx,my,mz,baro_temp,baro_press,baro_alt,batt_voltage,batt_percent,launch_lat,launch_lng,launch_alt,system_status,system_time,rssi,snr,connection_status
1.144405603,-1.019727111,2.022428274,1.874695539,0.026662193,-0.199947149,0.235698,-0.023290873,0.004234195,3.119317293,0.106686518,2.935562611,0.05416555,0.102153368,0.993486524,0.005585921,39.39009094,-8.289385796,218073,9,-0.124927998,0.025193,-1.023885012,1.496250033,1.067499995,0.533749998,-0.680237651,0.103579395,1.279222608,28.03000069,100047,1.319038749,4040,82,39.39009476,-8.289378166,220749,2,932338,-106,6,TRUE
1.147403002,-1.017892718,2.024646282,1.905284405,0.025909677,-0.205303013,0.188082382,0.031118929,-0.090008318,3.120102406,0.107362173,2.935439587,0.054461062,0.102231234,0.993467391,0.005157613,39.39009094,-8.289385796,218092,9,-0.077348001,0.067953996,-0.924027979,8.43500042,-3.526250124,0.00875,-0.685100555,0.103473343,1.273965359,28.04999924,100035,2.370965242,4035,82,39.39009476,-8.289378166,220749,2,932638,-108,8.5,TRUE
1.150230289,-1.006462574,2.011023045,1.829580307,0.022446228,-0.203275412,0.22864528,-0.021016242,0.006257057,3.117509842,0.105787948,2.935685396,0.053812198,0.102045976,0.993493676,0.006533374,39.39009094,-8.289385796,218127,9,-0.117913,0.027937999,-1.024982929,-0.752499998,1.321249962,0.49000001,-0.692533612,0.103791274,1.278535485,28,100053,0.790321767,4040,82,39.39009476,-8.289378166,220749,2,932939,-108,8,TRUE
1.156723619,-1.001511812,2.01574254,1.833083272,0.017775282,-0.197903901,0.207930073,9.80E-05,-0.045739412,3.116779327,0.105677679,2.935474157,0.053795874,0.102129459,0.993474543,0.006896031,39.39009094,-8.289385796,218139,9,-0.099064,0.045017999,-0.970570982,-1.96875,2.423749924,0.699999988,-0.696249485,0.104021534,1.272094965,28.03000069,100047,1.319038749,4042,83,39.39009476,-8.289378166,220749,2,933241,-108,8.5,TRUE
1.157113433,-0.995402396,2.004480124,1.827765346,0.020202553,-0.198596656,0.218143269,0.013594838,-0.013879478,3.11887455,0.105855227,2.935731649,0.053774517,0.10206718,0.993524373,0.005853692,39.39009094,-8.289385796,218161,9,-0.103089996,0.058316,-1.003083944,4.208750248,-0.769999981,0.463750005,-0.688243926,0.103755906,1.271259785,28,100024,3.337526083,4042,83,39.39009476,-8.289378166,220749,2,933543,-106,8.5,TRUE
1.165166855,-0.987043321,2.004354239,1.827428102,0.02326335,-0.204071045,0.214022309,0.012678484,-0.017583251,3.119896412,0.106186658,2.935908794,0.053886246,0.102005035,0.993531048,0.005333544,39.39009094,-8.289385796,218161,9,-0.099551998,0.055509999,-0.999058008,4.164999962,-0.717500031,0.27125001,-0.681667686,0.103573367,1.270470977,28.04999924,100025,3.252160311,4042,83,39.39009476,-8.289378166,220749,2,933844,-110,8.25,TRUE
1.165370464,-0.983831763,2.028989553,1.851718783,0.02005749,-0.182583332,0.211903751,0.004345563,-0.023314953,3.120209455,0.106752284,2.936126709,0.054152433,0.101888731,0.993490517,0.005153716,39.39009094,-8.289385796,218164,9,-0.099064,0.048312001,-0.985210955,1.128749967,0.455000013,0.411249995,-0.682813168,0.103415266,1.279870272,28.04000092,100034,2.459084749,4037,82,39.39009476,-8.289378166,220749,2,934147,-105,8.25,TRUE
1.162037969,-0.967909276,2.038636208,1.795845032,0.041853346,-0.179451779,0.180019051,0.022758575,-0.11203146,3.116328001,0.105045468,2.935435772,0.053505,0.102143332,0.993491054,0.007152146,39.39009094,-8.289385796,218186,9,-0.110532001,0.039894,-1.033278942,6.632500172,-3.053750038,0.402500004,-0.677664518,0.103476189,1.274860382,27.98999977,100046,1.407158256,4040,82,39.39009476,-8.289378166,220749,2,934444,-111,7.5,TRUE
1.186917663,-0.97221005,2.039170504,1.820907474,0.033257179,-0.226817489,0.127401918,0.021776468,-0.349323809,3.113305807,0.106423788,2.934587002,0.054347467,0.102469347,0.993396342,0.008559354,39.39009094,-8.289385796,218232,9,-0.188855991,0.012321999,-0.984356999,4.261250019,-2.178750038,-0.192499995,-0.691956103,0.104378238,1.278078914,28.04999924,100040,1.933121562,4040,82,39.39009476,-8.289378166,220749,2,934746,-108,7.75,TRUE
1.186730027,-0.94883889,2.049975157,1.820227861,0.087889723,-0.312499434,0.017432475,0.608729362,0.3809793,3.104127884,0.110547386,2.932717323,0.056877445,0.10308899,0.993116021,0.012850265,39.39009094,-8.289384842,218246,9,0.092902996,-0.228993997,-1.134966016,2.056250095,0.428750008,0.323749989,-0.683669984,0.103532836,1.271867871,28.02000046,100048,1.230919242,4034,82,39.39009476,-8.289378166,220749,2,935046,-111,8,TRUE
